Datasource,Vax_dose2,Month_vax2,Followup_vax2,Age_P25,Age_P50,Age_p75,Age_mean,Age_min,Age_max
TEST,Pfizer,6,578,54,66,74,62,27,82
TEST,Pfizer,5,6614,70,77,82,73,15,93
TEST,Pfizer,4,7168,83,85,88,84,34,95
TEST,Pfizer,2,3408,41,52,62,51,21,81
TEST,AstraZeneca,6,512,71,76,78,73,47,80
TEST,Moderna,4,1330,60,64,72,64,31,83
TEST,Moderna,6,475,51,65,67,59,20,77
TEST,Pfizer,3,3692,50,69,89,69,21,96
TEST,AstraZeneca,5,1327,42,48,53,47,24,62
TEST,Pfizer,1,2071,37,54,65,55,23,89
TEST,Moderna,5,719,52,65,70,61,40,73
TEST,Moderna,2,477,29,42,54,42,21,62
TEST,Moderna,3,204,50,54,57,54,46,61
