meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,44020,1
hospitalisation_secondary,ICD9,44024,1
hospitalisation_primary,ICD9,44024,1
hospitalisation_secondary,ICD9,4149,2
hospitalisation_secondary,ICD9,4148,7
hospitalisation_secondary,ICD9,44023,1
hospitalisation_primary,ICD9,4111,2
emergency_room_diagnosis,ICD9,41071,2
hospitalisation_secondary,ICD9,412,1
hospitalisation_primary,ICD9,4139,1
emergency_room_diagnosis,ICD9,41091,1
hospitalisation_primary,ICD9,41041,1
hospitalisation_secondary,ICD9,41401,1
hospitalisation_primary,ICD9,41001,1
hospitalisation_secondary,ICD9,4139,1
hospitalisation_primary,ICD9,41071,1
